regressor,mean_mse,std_mse,mean_pcc,std_pcc,mean_ktc,std_ktc
RF,0.296926042709918,0.0238794107622764,0.62109885022471,0.0471061260932221,0.43722211384081,0.0366927567653795
SVM,0.322829587939972,0.0462974960258059,0.514172934018424,0.0653133709842381,0.378214004984777,0.0425899378157092
