split,best_seed,best_epoch,best_mse,best_mse_pcc,best_mse_ktc
0,631184,19,0.2763937,0.665870755167814,0.442349786372932
1,533551,12,0.3029622,0.541237140887585,0.376212231495964
2,851959,19,0.3076008,0.580374788239858,0.404387598238449
3,844313,19,0.27034968,0.628342529812425,0.4062839748124
4,518931,17,0.25617045,0.586425116109649,0.404302601521072
,,,0.282695366,0.600450066043466,0.406707238488163
